iter	Passed	Remaining
0	2	217
1	3	170
2	4	145
3	5	128
4	6	120
5	7	115
6	8	111
7	9	109
8	10	107
9	11	107
10	13	106
11	14	104
12	15	104
13	16	103
14	17	101
15	19	100
16	20	99
17	21	97
18	22	96
19	24	97
20	25	95
21	26	94
22	27	92
23	28	91
24	30	90
25	31	89
26	32	88
27	33	87
28	35	85
29	36	84
30	38	84
31	39	83
32	40	82
33	41	80
34	42	79
35	44	78
36	45	77
37	46	76
38	47	74
39	48	73
40	50	71
41	50	69
42	51	68
43	52	67
44	53	65
45	54	64
46	56	63
47	57	62
48	58	61
49	59	59
50	60	58
51	61	57
52	63	55
53	64	54
54	65	53
55	66	52
56	67	50
57	68	49
58	69	48
59	71	47
60	72	46
61	74	45
62	75	44
63	76	43
64	78	42
65	79	40
66	80	39
67	82	38
68	83	37
69	84	36
70	85	35
71	86	33
72	88	32
73	89	31
74	90	30
75	91	29
76	93	27
77	94	26
78	95	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	103	18
85	104	16
86	105	15
87	106	14
88	107	13
89	108	12
90	109	10
91	110	9
92	112	8
93	113	7
94	114	6
95	116	4
96	117	3
97	118	2
98	119	1
99	120	0
